1	7.2468	12.295	18.555	25.906	34.134	42.867	51.729	60.536	69.192	77.483	85.129	91.99	98.082	103.41	107.84	111.3	113.88	115.87	117.48	118.82	119.89	120.69	121.25	121.67	122.03	122.45	122.98	123.61	124.25	124.77	125.13	125.33	125.45	125.56	125.73	125.98	126.29	126.62	126.93	127.2	127.38	127.44	127.39	127.27	127.12	127	126.95	126.95	126.99	127.04	127.06	127.04	126.95	126.77	126.51	126.23	125.96	125.79	125.72	125.78	125.91	126.06	126.17	126.21	126.17	126.05	125.86	125.62	125.37	125.13	124.94	124.83	124.78	124.74	124.67	124.51	124.23	123.83	123.37	122.94	122.62	122.46	122.44	122.45	122.41	122.28	122.09	121.85	121.62	121.4	121.19	120.93	120.62	120.25	119.84	119.43	119.06	118.72	118.41	118.14	117.92	117.74	117.57	117.37	117.11	116.79	116.41	116.03	115.67	115.38	115.16	115.02	114.96	114.95	114.98	115.02	115.03	115.01	114.96	114.88	114.8	114.7	114.57	114.38	114.1	113.73	113.27	112.73	112.15	111.51	110.82	110.08	109.3	108.5	107.72	107.01	106.39	105.81	105.21	104.62	104.1	103.73	103.51	103.37	103.22	102.95	102.51	101.96	101.41	100.99	100.77	100.74	100.87	101.11	101.43	101.77	102.07	102.25	102.28	102.17	101.96	101.72	101.5	101.31	101.17	101.05	100.9	100.69	100.41	100.03	99.568	99.055	98.554	98.108	97.719	97.371	97.071	96.856	96.766	96.81	96.962	97.174	97.392	97.581	97.716	97.779	97.756	97.65	97.469	97.21	96.854	96.377	95.757	94.984	94.067	93.04	91.966	90.937	90.079	89.504	89.24	89.181
2	7.952	13.317	19.928	27.698	36.467	45.883	55.516	65.117	74.626	83.893	92.559	100.29	107	112.76	117.62	121.5	124.36	126.36	127.84	129.13	130.41	131.68	132.84	133.84	134.63	135.24	135.72	136.21	136.8	137.57	138.48	139.37	140.07	140.53	140.77	140.91	141.05	141.28	141.62	142.03	142.46	142.87	143.19	143.37	143.33	143.08	142.63	142.04	141.4	140.79	140.16	139.44	138.55	137.44	136.17	134.84	133.53	132.33	131.34	130.69	130.47	130.66	131.07	131.5	131.76	131.75	131.49	131.09	130.69	130.35	130.11	130	130.06	130.31	130.68	131.06	131.42	131.73	131.98	132.16	132.25	132.24	132.08	131.78	131.37	130.95	130.59	130.33	130.19	130.22	130.43	130.81	131.3	131.81	132.25	132.53	132.59	132.46	132.25	132.02	131.85	131.75	131.75	131.82	131.92	132.02	132.13	132.26	132.43	132.59	132.72	132.81	132.88	132.93	132.99	133.06	133.12	133.17	133.18	133.14	133.04	132.9	132.74	132.58	132.43	132.32	132.27	132.31	132.41	132.54	132.63	132.64	132.55	132.36	132.09	131.78	131.47	131.17	130.94	130.79	130.7	130.65	130.58	130.46	130.28	130.03	129.75	129.45	129.11	128.75	128.35	127.93	127.44	126.87	126.18	125.34	124.39	123.37	122.32	121.22	120.09	118.94	117.87	117.03	116.54	116.43	116.63	116.97	117.27	117.42	117.36	117.12	116.73	116.25	115.76	115.34	115.09	115.09	115.35	115.71	115.94	115.83	115.35	114.62	113.82	113.12	112.6	112.25	112.05	112	112.09	112.32	112.68	113.11	113.55	113.94	114.25	114.45	114.54	114.57	114.56	114.56
3	7.8851	13.332	20.076	28.004	36.906	46.398	56.074	65.75	75.378	84.776	93.615	101.66	108.88	115.26	120.68	124.96	128.18	130.62	132.59	134.23	135.59	136.65	137.45	138.04	138.52	139.01	139.59	140.29	141.03	141.68	142.14	142.42	142.57	142.69	142.84	143.04	143.28	143.5	143.69	143.83	143.92	143.94	143.9	143.81	143.71	143.63	143.6	143.61	143.64	143.66	143.64	143.6	143.56	143.55	143.55	143.57	143.58	143.59	143.58	143.56	143.5	143.39	143.17	142.83	142.36	141.82	141.27	140.83	140.59	140.56	140.65	140.75	140.76	140.67	140.49	140.27	140.03	139.76	139.41	138.98	138.52	138.09	137.73	137.48	137.31	137.18	137.05	136.9	136.75	136.63	136.56	136.57	136.62	136.69	136.73	136.68	136.55	136.36	136.17	136.04	135.97	135.91	135.82	135.66	135.38	135	134.56	134.13	133.82	133.68	133.73	133.93	134.18	134.37	134.44	134.37	134.26	134.15	134.06	134.01	133.98	133.95	133.91	133.85	133.77	133.67	133.56	133.44	133.33	133.23	133.14	133.06	132.96	132.83	132.64	132.42	132.18	131.94	131.69	131.44	131.19	130.91	130.6	130.23	129.77	129.21	128.5	127.64	126.65	125.54	124.36	123.14	121.93	120.75	119.59	118.45	117.33	116.31	115.52	115.01	114.78	114.73	114.73	114.66	114.45	114.06	113.56	113	112.43	111.88	111.37	110.92	110.54	110.23	110	109.8	109.6	109.39	109.21	109.17	109.38	109.84	110.5	111.23	111.89	112.4	112.7	112.78	112.71	112.53	112.3	112.06	111.8	111.47	111.04	110.51	109.96	109.47	109.11	108.91	108.83	108.81
4	7.7114	13.11	19.8	27.628	36.322	45.453	54.605	63.536	72.061	79.888	86.749	92.578	97.472	101.5	104.65	106.88	108.38	109.43	110.31	111.14	111.91	112.56	113.09	113.5	113.8	114.06	114.33	114.7	115.2	115.77	116.3	116.69	116.93	117.03	117.08	117.12	117.21	117.34	117.52	117.76	118.05	118.37	118.64	118.84	118.93	118.91	118.82	118.73	118.71	118.77	118.86	118.97	119.05	119.09	119.08	119.06	119.02	118.98	118.93	118.82	118.64	118.4	118.11	117.83	117.61	117.44	117.33	117.26	117.23	117.24	117.28	117.34	117.41	117.49	117.54	117.54	117.47	117.35	117.18	117.01	116.86	116.76	116.71	116.69	116.67	116.62	116.51	116.33	116.08	115.74	115.33	114.88	114.43	114	113.64	113.38	113.19	113.08	112.98	112.88	112.77	112.62	112.45	112.22	111.97	111.71	111.47	111.28	111.14	111.03	110.93	110.81	110.64	110.4	110.12	109.8	109.47	109.14	108.81	108.47	108.12	107.77	107.43	107.1	106.75	106.37	105.91	105.36	104.71	103.98	103.22	102.46	101.72	101	100.31	99.619	98.935	98.297	97.769	97.406	97.217	97.155	97.138	97.088	96.948	96.659	96.152	95.385	94.376	93.217	92.061	91.066	90.348	89.963	89.92	90.176	90.626	91.111	91.483	91.648	91.586	91.334	90.971	90.594	90.283	90.069	89.927	89.81	89.699	89.621	89.617	89.701	89.838	89.955	89.984	89.893	89.707	89.505	89.388	89.428	89.625	89.9	90.15	90.316	90.399	90.413	90.37	90.282	90.166	90.026	89.847	89.606	89.281	88.865	88.379	87.897	87.501	87.229	87.076	87.01	86.993	86.993
5	7.8187	13.269	20.031	27.981	36.891	46.363	55.993	65.592	75.079	84.237	92.753	100.44	107.29	113.27	118.25	122.13	125.03	127.27	129.12	130.68	131.95	132.95	133.68	134.24	134.72	135.26	135.93	136.72	137.54	138.23	138.7	138.98	139.16	139.33	139.57	139.92	140.36	140.85	141.34	141.79	142.13	142.32	142.38	142.35	142.3	142.32	142.45	142.66	142.86	142.99	142.99	142.86	142.63	142.35	142.05	141.69	141.19	140.56	139.84	139.13	138.53	138.14	137.96	137.92	137.88	137.7	137.29	136.69	136.03	135.47	135.12	134.97	134.99	135.08	135.22	135.38	135.54	135.71	135.86	136	136.11	136.17	136.19	136.13	135.98	135.75	135.48	135.22	135.05	134.97	134.96	135	135.04	135.02	134.9	134.67	134.37	134.04	133.75	133.51	133.31	133.13	132.94	132.76	132.6	132.47	132.4	132.39	132.41	132.44	132.42	132.37	132.28	132.14	131.97	131.79	131.62	131.49	131.38	131.29	131.2	131.08	130.93	130.72	130.48	130.21	129.94	129.69	129.44	129.19	128.93	128.62	128.23	127.74	127.16	126.54	125.93	125.37	124.91	124.55	124.25	124	123.72	123.34	122.83	122.15	121.27	120.21	119.04	117.89	116.88	116.13	115.64	115.3	114.98	114.6	114.2	113.91	113.79	113.73	113.51	112.96	112.12	111.21	110.42	109.78	109.16	108.45	107.63	106.8	106.01	105.27	104.53	103.79	103.19	102.89	102.97	103.35	103.84	104.28	104.6	104.87	105.12	105.39	105.66	105.9	106.11	106.31	106.52	106.71	106.84	106.9	106.91	106.88	106.87	106.9	106.94	106.94	106.86	106.75	106.67	106.65
6	7.6031	12.929	19.532	27.264	35.865	44.919	54.027	62.963	71.55	79.509	86.571	92.669	97.88	102.25	105.7	108.22	109.98	111.29	112.39	113.37	114.22	114.91	115.44	115.84	116.17	116.5	116.91	117.45	118.08	118.71	119.21	119.54	119.71	119.81	119.9	120.04	120.24	120.5	120.84	121.22	121.61	121.94	122.17	122.27	122.25	122.17	122.12	122.14	122.25	122.4	122.55	122.66	122.72	122.73	122.72	122.69	122.65	122.59	122.49	122.33	122.09	121.8	121.48	121.18	120.93	120.74	120.61	120.53	120.51	120.53	120.55	120.57	120.57	120.53	120.42	120.2	119.88	119.48	119.05	118.67	118.38	118.19	118.08	118.02	117.94	117.81	117.59	117.27	116.89	116.47	116.1	115.82	115.65	115.59	115.6	115.6	115.53	115.33	115.02	114.62	114.19	113.78	113.45	113.25	113.16	113.16	113.2	113.23	113.21	113.09	112.88	112.57	112.19	111.78	111.41	111.1	110.86	110.68	110.51	110.31	110.04	109.66	109.14	108.48	107.73	106.94	106.14	105.37	104.6	103.79	102.94	102.07	101.26	100.61	100.2	100.03	100.05	100.14	100.25	100.32	100.31	100.18	99.849	99.303	98.585	97.811	97.124	96.622	96.34	96.261	96.344	96.514	96.657	96.644	96.388	95.886	95.206	94.451	93.723	93.093	92.593	92.237	92.048	92.051	92.24	92.561	92.927	93.242	93.397	93.298	92.884	92.168	91.254	90.318	89.553	89.124	89.117	89.515	90.189	90.947	91.609	92.073	92.34	92.479	92.553	92.574	92.502	92.285	91.904	91.41	90.909	90.51	90.277	90.217	90.294	90.437	90.571	90.644	90.657	90.644	90.633	90.63
7	7.24	12.284	18.535	25.865	34.043	42.682	51.394	59.965	68.263	76.044	83.03	89.107	94.331	98.757	102.33	104.98	106.84	108.17	109.27	110.23	111.08	111.76	112.28	112.68	112.98	113.27	113.61	114.06	114.63	115.23	115.75	116.09	116.27	116.34	116.39	116.47	116.62	116.84	117.1	117.41	117.75	118.05	118.28	118.41	118.42	118.35	118.26	118.23	118.29	118.42	118.58	118.72	118.8	118.82	118.79	118.72	118.63	118.55	118.47	118.38	118.27	118.13	117.98	117.83	117.71	117.58	117.46	117.33	117.24	117.2	117.23	117.3	117.37	117.43	117.46	117.45	117.39	117.3	117.18	117.05	116.92	116.81	116.69	116.58	116.43	116.25	116.05	115.83	115.59	115.33	115.07	114.8	114.54	114.28	114.04	113.83	113.65	113.49	113.34	113.2	113.06	112.91	112.75	112.57	112.38	112.18	111.99	111.79	111.6	111.41	111.19	110.96	110.71	110.45	110.19	109.94	109.7	109.48	109.29	109.12	108.98	108.84	108.68	108.47	108.21	107.87	107.45	106.93	106.31	105.6	104.81	103.95	103.04	102.12	101.24	100.4	99.555	98.676	97.773	96.882	96.026	95.218	94.474	93.806	93.226	92.751	92.379	92.094	91.911	91.846	91.865	91.888	91.877	91.874	91.979	92.264	92.734	93.322	93.918	94.416	94.743	94.857	94.744	94.436	94.001	93.506	93.01	92.574	92.263	92.107	92.077	92.123	92.205	92.298	92.39	92.474	92.539	92.565	92.531	92.443	92.336	92.245	92.191	92.195	92.261	92.368	92.488	92.597	92.676	92.705	92.662	92.537	92.342	92.116	91.898	91.715	91.583	91.503	91.462	91.45	91.45	91.452
8	8.2293	13.994	21.136	29.482	38.73	48.4	58.027	67.334	76.106	84.029	90.825	96.441	101.01	104.66	107.45	109.39	110.63	111.44	112.1	112.77	113.48	114.18	114.8	115.3	115.69	115.97	116.18	116.42	116.78	117.28	117.85	118.38	118.77	119.02	119.13	119.18	119.22	119.3	119.42	119.6	119.85	120.16	120.48	120.74	120.88	120.86	120.67	120.35	119.98	119.66	119.44	119.35	119.37	119.43	119.46	119.42	119.29	119.09	118.84	118.58	118.32	118.11	117.95	117.86	117.81	117.79	117.79	117.79	117.78	117.72	117.61	117.43	117.17	116.87	116.57	116.32	116.14	116.03	115.98	115.95	115.91	115.8	115.61	115.35	115.06	114.77	114.55	114.41	114.33	114.28	114.22	114.15	114.05	113.93	113.8	113.66	113.52	113.39	113.26	113.13	112.96	112.75	112.48	112.17	111.83	111.51	111.24	111.03	110.87	110.74	110.63	110.5	110.33	110.11	109.84	109.54	109.22	108.89	108.55	108.2	107.83	107.42	106.92	106.33	105.63	104.81	103.89	102.87	101.8	100.71	99.651	98.733	98.029	97.502	97.053	96.641	96.311	96.101	95.975	95.807	95.438	94.741	93.702	92.42	91.042	89.686	88.427	87.317	86.396	85.683	85.183	84.931	84.988	85.378	86.051	86.895	87.764	88.538	89.171	89.675	90.086	90.442	90.768	91.051	91.256	91.356	91.329	91.137	90.737	90.147	89.463	88.796	88.217	87.747	87.367	87.059	86.826	86.673	86.582	86.54	86.546	86.61	86.753	86.993	87.313	87.665	88.005	88.294	88.475	88.503	88.38	88.148	87.867	87.602	87.394	87.246	87.14	87.053	86.975	86.917	86.889	86.883
9	7.0879	12.035	18.17	25.373	33.433	41.998	50.728	59.467	68.13	76.513	84.368	91.599	98.225	104.19	109.33	113.54	116.94	119.71	121.98	123.77	125.08	126	126.64	127.17	127.75	128.43	129.13	129.75	130.19	130.48	130.66	130.83	131.05	131.37	131.77	132.21	132.63	132.97	133.15	133.17	133.05	132.84	132.6	132.38	132.2	132.05	131.9	131.74	131.52	131.2	130.78	130.29	129.78	129.29	128.86	128.52	128.25	127.95	127.48	126.71	125.58	124.11	122.52	121.07	120.02	119.43	119.18	119.15	119.28	119.53	119.84	120.1	120.26	120.28	120.21	120.05	119.8	119.44	118.97	118.42	117.81	117.18	116.56	116.02	115.64	115.45	115.4	115.4	115.36	115.26	115.11	114.97	114.85	114.75	114.63	114.52	114.49	114.58	114.8	115.05	115.24	115.29	115.22	115.11	115.01	114.95	114.92	114.92	114.95	115	115.07	115.15	115.23	115.28	115.27	115.21	115.12	115.02	114.95	114.91	114.89	114.89	114.86	114.8	114.71	114.61	114.53	114.48	114.47	114.51	114.57	114.62	114.66	114.68	114.67	114.63	114.55	114.42	114.26	114.09	113.96	113.9	113.87	113.83	113.73	113.53	113.23	112.88	112.51	112.18	111.93	111.76	111.68	111.64	111.57	111.42	111.18	110.88	110.56	110.25	109.95	109.64	109.25	108.71	107.99	107.07	105.98	104.86	103.89	103.27	103.08	103.23	103.47	103.6	103.55	103.37	103.12	102.86	102.53	102.13	101.66	101.22	100.86	100.59	100.31	99.915	99.382	98.759	98.115	97.479	96.822	96.079	95.235	94.357	93.559	92.946	92.551	92.322	92.164	92.027	91.938	91.912
10	7.3945	12.557	18.951	26.431	34.743	43.477	52.234	60.786	68.962	76.49	83.11	88.756	93.523	97.487	100.61	102.88	104.42	105.52	106.44	107.3	108.09	108.75	109.29	109.71	110.03	110.31	110.62	111.04	111.58	112.17	112.71	113.11	113.34	113.46	113.53	113.62	113.74	113.92	114.15	114.44	114.78	115.12	115.39	115.57	115.64	115.6	115.51	115.46	115.47	115.56	115.67	115.78	115.86	115.89	115.88	115.85	115.8	115.75	115.69	115.58	115.39	115.16	114.92	114.69	114.5	114.37	114.29	114.27	114.29	114.35	114.42	114.47	114.52	114.55	114.59	114.6	114.58	114.5	114.39	114.23	114.03	113.79	113.54	113.28	113.03	112.79	112.55	112.3	112.05	111.78	111.49	111.21	110.95	110.72	110.53	110.37	110.23	110.11	109.97	109.82	109.65	109.45	109.23	108.98	108.71	108.42	108.12	107.8	107.49	107.19	106.91	106.65	106.41	106.2	106.01	105.84	105.66	105.47	105.27	105.03	104.77	104.47	104.13	103.73	103.27	102.73	102.09	101.34	100.47	99.543	98.629	97.773	96.954	96.116	95.238	94.343	93.456	92.59	91.781	91.073	90.487	90.005	89.59	89.215	88.892	88.645	88.46	88.309	88.22	88.279	88.56	89.07	89.75	90.489	91.14	91.577	91.736	91.622	91.291	90.829	90.326	89.852	89.458	89.182	89.034	88.995	89.038	89.132	89.228	89.289	89.323	89.364	89.427	89.501	89.571	89.628	89.668	89.701	89.744	89.817	89.918	90.019	90.076	90.05	89.92	89.699	89.429	89.164	88.945	88.797	88.73	88.739	88.805	88.904	89.014	89.115	89.192	89.244	89.279	89.3	89.31	89.312
